Email,Phone,Address,Website
info@helasfyzio.sk,+421 907 539 001,HÁLKOVÁ 1,http://www.helasfyzio.sk
,+421 2 5729 0307,Mickiewiczova 13,
info@dentalissimo.sk,+421 948 125 300,Prešovská 40/C,http://www.dentalissimo.sk
,+421 55 685 72 86,Ondavská 10/C,
,+421 907 756 103,Inovecká  1124/9,
info@medicalpoint.sk,+421 917 178 398,Jégého 3,http://www.medicalpoint.sk
info@chirkoz.sk,+421 2 6353 0163,Kladnianska 38,
skbmdr@pe.unb.sk,+421 2 6867 3588,Antolská 11,http://www.registerdarcovkostnejdrene.sk
doktorka@wmx.sk,+421 2 5778 6300,Mýtna 5,http://www.lekarka.info
,+421 38 769 61 15,Šišov 45,
,,Komenského  8,
,+421 41 430 84 58,Jašíkova  565,
,,Nábrežná  3,
drmax@drmax.sk,+421 901 961 057,Ľubochňa 143,https://www.drmax.sk/lekarne/lubochna-143-lubochna
ave.balazova@gmail.com,+421 33 550 25 17,Starohájska 2,http://www.cardiomed.zdravita.com
info@vavslovakia.sk,+421 51 772 13 35,Hlavná 50,http://www.opatrovatelskykurz.com
hollydentcare@gmail.com,+421 54 474 81 18,Sv. Jakuba 21,http://www.hollydentalcare.sk
,+421 55 633 15 62,Rastislavova 45,
vet.ambulancia@gmail.com,+421 2 6241 0290,Osuského 43 TB,http://www.veterinarnaambulanciabratislava.sk
,+421 948 517 134,Stodolova 5,http://www.vet4yourpet.sk
,+421 58 732 11 35,Špitálska 1,
,+421 38 747 33 61,Nová nemocnica 511,
info@lekaren-velkalomnica.sk,+421 52 456 10 48,Školská 673/39,http://lekaren-velkalomnica.sk
,+421 42 432 21 68,Komenského 1,
,+421 42 465 33 38,Pod hájom 1288/116,
,+421 41 562 64 59,Bratislavská  4,
,+421 43 539 57 48,Zuberec 365	,
,,Komárňanská  115,
,+421 2 5788 7111,Námestie SNP 10,http://www.milosrdni.eu
mdziakova@nemocnicasaca.sk,+421 55 723 48 88,Lúčna 57,http://www.nemocnicasaca.sk
,,Winterova  29,
,+421 31 569 40 33,Školská 35,
,,Eötvösa  37,
,+421 31 783 32 90,Hodská  373/38,
info@abmasaze.sk,+421 905 827 608,Ondrašovská 1059,http://www.abmasaze.sk
,+421 38 762 42 28,Hviezdoslavova 23,
,+421 34 778 52 01,Kuchyňa č. 203,
,+421 2 5859 7446,Vlčie hrdlo  49,
,346969395,Koreszkova 7,
,,Rotaridesa  18,
,,Nemocničná  1,
recepcia-radl@falck.sk,+421 2 2086 8777,"Falck Healthcare, Radlinského 27",
,,Veľkoblahovská cesta  23,
,+421 43 589 31 68,Oravský Podzámok 34,
,,Maršala Koneva 1,
,+421 2 4590 1181,Kráľová pri Senci  106,
,+421 58 483 33 33,Litovelská 25,http://Objednatvysetrenie.sk
,,Kpt. Nálepku,
info@centrumkramare.sk,+421 918 404 903,Limbova 22,http://www.centrumkramare.sk
lekaren@bacillus.sk,+421 2 5465 0164,Lamačská cesta 1/c 5959,http://www.bacillus.sk
adospe@centrum.sk,+421 38 749 71 77,R. Jašíka 156/4,
pb.podpora.zdravia@uvzsr.sk,+421 42 432 32 91,ul. Slovenských  partizánov 1130/50,
,+421 41 391 63 13,Sidónie Sakalovej  190,
,+421 902 901 034,Daxnerovo nám. 5,http://www.sportmed.sk
,,Rázusova  16,
pemimed@gmail.com,+421 948 223 155,Šusteková 2,http://www.uroambulancia.sk
,,Andovska  6,
,+421 51 770 29 07,Justičná,
drmax-dv1@drmax.sk,+421 42 326 01 03,Obrancov mieru 1763/37,http://www.drmax.sk
mudr.tamaskovicova@gmail.com,+421 35 640 07 74,J.Kráľa 3,http://www.mudr-tamaskovicova.sk
asipulova@hemomedika.eu,+421 55 625 42 88,Štúrova 27,http://www.HemoMedika.eu
,,Americké námestie 3,
,,Hlavná  13/53,
,+421 35 640 31 26,Andovská  9/B,
,+421 2 3250 5690,Benediktiho 5,
,+421 32 656 63 64,Legionárska 28,
,+421 55 643 51 59,Cottbuská 13,
,,Zdravotnícka  599,
sefferova.radka@gmail.com,+421 949 406 679,P.O.Hviezdoslava 9,
topgyn29@gmail.com,+421 917 690 565,Hviezdoslavova 34,
,+421 41 569 51 82,Sv. Martina 273,
,+421 2 6541 2266,"Líščie údolie  57 Poliklinika Karlova Ves - hlavná budova, prízemie, dvere 20 ",
,+421 2 6382 1910,Fedinova 9,
drmax-po4@drmax.sk,+421 51 794 42 55,Volgogradská 7/A,http://www.drmax.sk
,+421 34 697 91 13,Staromyjavská 59,
l.konarikova@zoznam.sk,+421 48 414 57 32,Cesta k nemocnici 23,
,+421 48 415 50 66,Námestie Ľ. Svobodu 21,
,,Železničná ul.  10,
,+421 03 377 18 10,Hlboká  45,
,+421 55 698 92 36,Hlavná 346,
fonema@fonema.eu.sk,+421 907 219 929,Trojičné námestie 192/13,http://fonema.webnode.sk
cuchranova.viera@gmail.com,+421 56 649 22 36,Hlavná,
,+421 2 5954 2304,Limbová  5,http://www.unb.sk
,,641,
,,Školská  41,
provoz.piestany@alzheimercentrum.sk,+421 918 790 710,Rekreačná 7,
,+421 35 648 45 34,Tajovského 61,
,,Dukelská štvrť 1408,
,,Šustekova 2,
potankova@gmail.com,7421426,Nábrežie Andreja Hlinku  27,
,+421 38 642 32 32,č. 288,
,+421 34 772 27 04,Radlinského ul. č. 1,
lekarenmeda@mail.t-com.sk,+421 33 534 03 37,Štefánikova 35,
lekaren.branik@mail.t-com.sk,+421 2 6382 3526,Beňadická 17	,
tatiana.holbova@yahoo.com,+421 948 665 700,Betliarská 17,
,+421 32 771 99 66,Štúrova 587/28,
bbellan@marticonet.sk,+421 43 413 19 23,Mudroňova 30,
,,,https://drive.google.com/a/zzz.sk/file/d/0ByBRJN0uUTq2Wm5pMGZIQ1lWRXM/view?pref=2&pli=1
,,Nám. Odborárov  7,
,,K. Kalocsaya 8	,
,+421 46 540 34 18,Janka Kráľa 573/15,
,+421 2 4592 8293,Námestie 1. mája 6,
,415071544,Bratislavská 1,http://krankas.sk/index.php?action=ambulancie&sub=13
,+421 37 783 32 74,Školská 5,http://www.veterinavrable.sk
,+421 41 568 11 77,Smreková 39,
info@najlacnejsiemeradla.sk,+421 914 773 737,Jazerná 5,https://najlacnejsiemeradla.sk/
trebuna@centrum.cz,,Smetanova 2,
,+421 34 624 46 06,Budovateľská  702,
,+421 2 5556 1251,Vajnorská  1,
ambulancia@vitacare.sk,+421 2 2020 2080,Kráľová pri Senci 327 ,http://www.vitacare.sk
meszi.vahy@gmail.com,+421 31 554 72 55,"Hlavná ulica, č.d. 92",http://www.meszi-vahy.sk
,+421 37 653 74 66,Fatranská 12,
lekaren@ferula.sk,+421 41 562 08 98,Dolný Val 39,http://www.lekarenferula.sk
info@cityclinic.eu,+421 918 100 022,Prievozská 1318/14,https://cityclinic.sk/zubna-pohotovost/
,+421 903 707 995,Trnavská cesta  39,
,,Rastislavova 45,
,,Sotinská  1588,
,,Trieda SNP 1,
,+421 2 5788 7108,Námestie SNP 10,http://www.milosrdni.eu
mi.opz@uvzsr.sk,+421 56 688 06 26,Sama Chalupku 5,
,,Obchodná 9,
,,,
dadova.j@gmail.com,+421 902 376 093,Jilemnického 539,https://www.poradenstvo-koucing.sk/
,+421 2 6867 2520,Antolská 11,
,+421 04 176 47 77,A. Rudnaya  8448/22-A,
ahankova@gmail.com,+421 51 457 32 60,Komenského 20,
,,Vajnorská 40,
,+421 51 772 10 84,Kúpeľná 3913/3,http://veronadent.sk/
,+421 917 950 965,Hlavná 50,
rastosin@azet.sk,+421 905 366 613,Bernolákova 24,
,+421 44 438 26 34,Gen. Miloša Vesela  21,
info@vetpoint.sk,+421 948 029 674,Panonská cesta 16,
info@cordbloodcenter.sk,+421 80 011 12 33,Gallayova 11,http://www.cordbloodcenter.sk
evafrtus@gmail.sk,+421 908 224 629,Zvolenská 4,
klinika@sibra.sk,+421 2 5441 9949,Na vrátkach 13,http://www.sibra.sk
,,Pribišova 6	,
,,Podzáhradná 100,
info@prochirurgia.sk,+421 2 4342 6424,Ružinovská 10,http://www.prochirurgia.sk
,+421 46 541 12 34,Bojnická cesta 43,
suchac.v@gmail.com,+421 903 565 161,Dr. V. Clementisa 4118/8A,
,+421 42 430 41 73,Nemocničná 986,
,+421 55 611 66 69,Poštová 15,
office@pendlpiswanger.sk,+421 2 5932 4488,Cukrová 14,
,+421 43 559 23 24,Zákamenné 55 - Zdravotné stredisko,
,+421 2 4342 8444,Svätovojtešská 40,http://www.hospic-slnecnica.sk
janosikovaagata@gmail.com,+421 951 569 939,D.Dlabaca 775/33,www.internaambulanciazilina.sk
simovaanna@gmail.com,+421 944 373 084,Údol 133,
,,Ulička  301/16,
,,Kukorelliho 334/16,
lekzlateklasy@mail.t-com.sk,+421 31 569 23 10,Poštová 550,http://www.julianus.sk
svarcova@ideadent.sk,+421 903 771 014,Na Brehu 3,http://www.ideadent.sk
,,Chorvátska 26,http://www.vres.sk
,,Rastislavova 45,
teremova@slovanet.sk,+421 46 540 02 59,SNP 583/3,http://www.tvojezdravie.eu
,+421 31 555 27 77,Nám. Bélu Bartóka  215,
flostilia@pharmnet.sk,+421 31 789 23 87,Spádová 1143,
,+421 33 558 30 24,Starohájska  1,
,Klapka 784,Ružinovská 6,
,,Krčméryho  2951/2b,
,+421 58 732 97 21,Špitálska 1,
,+421 905 240 734,Nová Doba  497,
obertdr@gmail.com,+421 940 601 415,Štefánikova trieda 46,
,,Komenského  134/4,
,,Legionárska 19,
,+421 46 547 53 07,SNP 2,
,+421 48 441 32 10,Námestie L. Svobodu 1,
,+421 04 342 41 61,9. mája 438/15,
,,M.M.Hodžu  2,
sanusemi@azet.sk,,B. Němcovej,
,+421 907 888 999,Betliarska 3776/17,http://www.procare.sk
zubnapohotovostpo@gmail.com,+421 911 498 241,Levočská  44,https://zubnapohotovostpo.sk/
alexkubek@yahoo.com,+421 51 771 09 35,Slovenská 65,
,+421 33 595 31 16,Starohájska ulica  2,
jciganak@manus-med.sk,+421 46 543 80 13,Svätopluka 90/14,
,+421 32 652 26 11,Horná Súča 251 ,
,+421 42 442 87 21,Murgašova 873,
,+421 55 640 23 07,Tr. SNP 1,
,+421 52 772 23 07,Alžbetina 379/21,http://www.caritas.sk
info@fokusoptika.sk,+421 53 451 23 22,Námestie Majstra Pavla 43,https://fokusoptika.sk/
,+421 42 430 43 35,Dedovec 1074/100,
,+421 907 888 999,Betliarska 3776/17,http://www.procare.sk
nspsnv@nspsnv.sk,+421 53 419 92 24,Jánskeho 1,http://www.nspsnv.sk
,,Pohraničná  17,
,,Bitúnková  13,
valeria.vancakova@gmail.com,+421 55 633 05 65,Urbánkova 2,
renata.valkyova@fntt.sk,+421 33 593 85 02,Andreja Žarnova 11,
,,Limbova 5,
,+421 41 511 04 69,Vojtecha Spanyola  43,
recepcia@klinikamd.sk,+421 2 3231 3020,Staré grunty 56,http://www.klinikamd.sk
,+421 80 000 30 90,Duklianskych hrdinov 34,
,+421 48 282 03 97,Banisko 1,http://www.nspbr.sk
metabolklinik@zoznam.sk,+421 2 5262 0738,Cukrová 3,
,+421 903 955 413,Šustekova 2,
,+421 33 730 03 71,Nábrežie A. Hlinku  28,
,,ObZS,
,+421 56 632 27 71,Nemocničná 8,
,,"Fatranská 12 ,  PK",
,+421 2 5011 6111,Záhradnícka 42,http://www.snop.sk/
recepcia@ryantlaserderma.sk,+421 950 370 847,M. Mišíka 19A,http://www.ryantlaserderma.sk
juraj.chochlac@centrum.sk,+421 36 779 50 02,Kostolná 14,
,+421 903 262 985, Lotyšská 5187/1,
,+421 55 723 42 60,Lúčna 57,
bernolakovo@familydentalcare.sk,+421 903 616 313,Viničná 5,https://www.familydentalcare.sk/
,+421 917 350 325,Bernolákova  11,
benu16@benulekaren.sk,+421 2 2063 4168,Sotinská 29A,http://www.benulekaren.sk
,,Štúrova  836,
sona.sedlackova@slovanet.sk,+421 2 4437 1298,Tehelná 26,
vaii@stonline.sk,+421 37 741 67 51,Remeselnícka 4,http://www.veterinarnaklinika.eu
,+421 38 747 33 35,Nová nemocnica 511,
allenija@hotmail.com,+421 907 751 745,Vlastenecké nám.1,
,,SNP  19,
,,	Hlavná  832/35,
,,M. R. Štefánika 205/14,
ghrutkai@nemocnicasaca.sk,+421 55 723 45 19,Lúčna 57,http://www.nemocnicasaca.sk
apspezinok@gmail.com,+421 33 641 21 20,Bratislavská  85,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantna-pohotovostna-sluzba-v-bsk/pezinok.html?page_id=127698
,+421 32 656 65 70,Legionárska 28,
,,č. 741,
,,Čajkovského 46,
peter.priputen@googlemail.com,+421 944 302 352,J. Janosika 863,http://www.veterinarvarin.eu
centrum@akupunktura.sk,+421 915 582 602,Školská 35,http://www.akupunktura.sk
,,Koceľova 29,
,+421 35 777 48 58,Tržná  1/A,
,+421 2 4445 1067,Bojnická 10,http://www.protetika.sk
,,Hviezdoslavova 23/3,http://www.nemocnicabn.sk/
bajanek.f@azet.sk,+421 911 155 159,Matice slovenskej 980/8,
,+421 54 472 46 09,Bezručova  538/3,
,+421 53 381 05 78,B. Němcovej 1130,
,+421 56 642 66 67,Štefánikova 14,
,,Švermova  6,
marian.,+421 55 682 43 50,Strojárenská 13,
optim@centrum.sk,+421 949 144 522,Štefánikova 480,http://www.optikazoom.sk
drmax@drmax.sk,+421 901 961 003,Námestie 1. mája 1,http://www.drmax.sk
derma@derma-img.sk,+421 905 563 809,Bystrická cesta 2825,http://derma-img.sk
,,ul. ČSA 35,
,+421 2 5778 6329,Mýtna 5,
,+421 2 3914 3107,Šancová 110,http://www.znap.sk/ba/
,+421 31 787 42 34,Šoporňa  1548,
,905472151,Riazanská  62/B,http://www.panek.sk
,,Riadok	1	 ,
,+421 2 3261 1175,Cesta na Červený most 1,http://www.nsmas.sk
,,Horné Orešany  609,
,,Ambulancia neurológie FORLIFE Všeobecná nemocnica Komárno Mederčská ul.  39,
,+421 43 413 17 90,Prieložtek 1,
drmax-lm2@drmax.sk,+421 44 551 43 87,Jánošíkovo nábrežie 1212,http://www.drmax.sk
,+421 33 794 12 64,Nábrežie A. Hlinku 27,
,+421 55 623 03 39,Rastislavova 45,
,,Poliklinika Fatranská  12,
,+421 908 871 673,Komenského 37/A,
,,Prieložtek  1,
,+421 2 6453 8577,Malokarpatské nám. 2,
,+421 55 789 85 56,"Cottbuská 13, 040 23 Košice",
,+421 52 712 53 84,Banícka 803/28,
,+421 38 760 82 96,Školská 768/25,
corpus@sunlight.sk,+421 2 5556 0033,Kvačalová 51,
,,Ulica Mozartova  8,
,+421 31 554 31 17,Michal na Ostrove  186,
lekkorzo@mail.t-com.sk,+421 35 640 03 74,M. R. Štefánika 4,
spokova.stom@gmail.com,+421 41 435 62 22,Korňa  515,
,,Komenského  36,
ambulancia@psycholog.eu.sk,+421 948 282 383,Dobrianského 1651,http://www.psycholog.eu.sk
ambulancia@psychologia-gajdosova.sk,+421 45 533 37 35,Novomeského 6,
kontakt@kardioklub.sk,+421 948 600 456,Kúpele Sliač,http://www.kardioklub.sk
info@uvn.sk,+421 44 438 21 11,Gen. Vesela 21,http://www.uvn.sk
,+421 41 557 58 29,Sidónie Sakalovej  161/16,
no_farmacia@stonline.sk,+421 43 557 73 03,Črchľa 309/9,
logopediakosicesro@gmail.com,+421 903 640 664,Maršala Koneva 1,http://www.logopediakosice.sk
,,ul. ČSA 35,
,6841583,ZS Námestie Oceliarov 23,
info@petsvetklinika.sk,,Námestie A. Hlinku 71,
eurorehab.interna@gmail.com,+421 902 459 122,Tbiliská 6,http://www.eurorehab.sk
skrakova@npba.sk,+421 2 6867 2625,Antolská 11,https://www.unb.sk/hematologicka-ambulancia/
adamlifestyle@gmail.com,+421 907 823 811,Palárikova 1761,http://www.wellness-trener.sk
feldmart@mail.t-com.sk,+421 31 554 33 88,Hlavná ul. 28/7,http://www.hipokratesds.sk
,+421 907 712 866,Krátka  548/2,
,,PK,
,,Eötvosa  21,
,+421 48 419 66 28,Cambelova  316,
remediumnr@pharmnet.sk,+421 37 652 60 58,Štúrova 12,
,+421 911 855 744,Moyzesova 1441,
hubinakova@nedu.sk,+421 44 430 62 22,Ľubochňa 144,
sanatoriumkarpatia@sanatoriumkarpatia.sk,+421 33 640 61 69,Potočná 11,http://www.sanatoriumkarpatia.sk
drmax-nz1@drmax.sk,+421 35 643 20 88,Nitrianska cesta 111/A,http://www.drmax.sk
,,Hviezdoslavova  2556/63,
,+421 43 559 12 73,Lokca	,
,,"17. novembra ,  PK",
mario.bertoli@gmail.com,+421 33 774 31 20,A.Trajan,
,+421 47 431 12 77,Nám. republiky 14,
,+421 2 4827 9111,Ružinovská  10,http://www.ruzinovskapoliklinika.sk
sonix@sonix.sk,+421 2 6595 7143,Píniová 21,http://www.sonix.sk
,,Duklianskych hrdinov 34,
,+421 37 642 56 64,Čajkovského  46,
,,Edelényska 1,
,+421 918 390 350,Limbová 12,
,+421 2 5443 2228,Lermontovova  9,
,,Rázusova  24,
,+421 38 762 43 98,Hviezdoslavova 23/3,
,+421 41 420 19 04,Kukučínova 2739,
lekostihojpo@pharmnet.sk,+421 51 749 53 43,Prostejovská 39/B,
julia.polakova@zoznam.sk,+421 904 327 049,Vieska 144,
,346969172,Koreszkova 7,
,,Pri Hrubej lúke 2	,
,,Pribinova  5,
,+421 42 464 29 02,Moyzesova  1744,
,,Vajanského ul.  1,
libra@pharmnet.sk,+421 2 6544 2551,Pribišova 4,http://www.lekarenlibra.sk
,+421 56 381 02 56,Továrenská 2,
,,kpt. Nálepku  612,
,+421 55 460 47 39,ČSA 35,
ambulancia@gynlife.sk,+421 944 555 100,Rezedová 5,http://www.gynlife.sk
posa@internetkosice.sk,+421 55 466 52 59,"Buzica, zdravotné stredisko",
talion@chello.sk,+421 02 207 33 75,Gercenova 7,
,+421 48 282 01 36,Banisko 1,http://www.nspbr.sk
,,Agátová 12,
,+421 905 950 146,1.mája  386/11,http://novio.sk
,,Štrbské Pleso 27,
mudr.grossovahelena@gmail.com,+421 2 4341 4828,Kvačalova 49 - 51,
michaela.mikulikova@slovanet.sk,+421 948 028 866,Trenčianska 764,
,,Ľanárska ulica  4534/18,
,,Špitálska  17,
,+421 905 534 232,Učiteľská 22,
,,Andreja Bažíka  210,
info@procare.sk,+421 85 088 89 99,Jána Pavla II. č. 5,http://www.procare.sk
,,Nitrianska  6,
,,Nám. A. Hlinku  8,
,,Bratislavská  73,
,+421 35 771 32 76,Hradná  1,
,+421 2 5937 1569,Limbová 1,http://ww.dfnsp.sk
,+421 52 712 56 96,Banícka 803/28,
,,Ferka Urbánka  11,
olabmilosrdni@medirex.sk,+421 2 5788 7273,Námestie SNP 10,
,+421 57 486 54 31,"M.R.Štefánika, 187/177B",
zidovsky@stonline.sk,+421 52 432 31 86,Mierová 90/1284,
eminarik@ousa.sk,+421 2 3224 9615,Heydukova 10,
miroslavmurgas@mail.t-com.sk,+421 37 654 58 99,Špitálska 6,
,,Bratislavská 3,
martinka@nedu.sk,+421 44 430 61 06,Ľubochňa 144,
,Klapka 756,Ružinovská 6,
+421949131221,,B.Bullu 13,
,+421 32 286 14 22,Hodžova 37,
,+421 2 3261 2188,Cintorínska  3/B,http://www.nsmas.sk
,+421 38 531 61 30,Kovarce 159,
,+421 905 350 016,Slavianska 10,
huffmanovaanna@gmail.com,+421 903 962 392,Sečovská Polianka 700,
,+421 905 765 227,Poštová 1,
mojzubar@mojzubar.sk,+421 2 5443 0314,Riečna 2,http://www.mojzubar.sk
,+421 55 632 57 55,Jahodová č. 2,
,+421 903 705 601,Bajzová 2,
pp.saling@uvzsr.sk,+421 52 712 56 04,Zdravotnícka 3,
,+421 2 6596 7045,Družstevná 272,
info@littlekitten.sk,+421 903 266 779,Detvianská 27,http://www.littlekitten.sk
,,SNP  19,
,,Zemianske Sady  164,
,+421 902 124 798,Duklianska 6,
,+421 41 321 99 51,Vojtech Spanyola 39,
palace@pharmacum.sk,+421 2 4444 2864,Cesta na Senec 2,http://www.pharmacum.sk
,,Beša  239,
,,Štefánikova  57,
info@osetrovatelstvo.sk,+421 905 641 138,Vavrišovo,http://www.osetrovatelstvo.sk
,+421 43 539 20 19, SNP  227 ,
,+421 33 730 16 68,Poštová  3,
,Klapka 813,Ružinovská 6,
ahavet.ambulancia@gmail.com,+421 911 242 838,"Ľudovíta Fullu 7, Dlhé diely",
,+421 903 761 654,Špitálska 13,
,+421 46 511 33 63,Nábrežná  5,
,,Hviezdoslava 6651/3,
,+421 907 729 412,Párovská  14,
,+421 31 552 43 59,Ádorská  21,
,,J.D. Matejovie 542,
,,Nitrianska cesta 111 ,
,,Gorkého 1,
logopedia.siskova@gmail.com,+421 53 441 46 54,Námestie SNP 2,
,+421 34 772 30 57,Gen. Štefánika 5,
,+421 48 381 04 71,Sládkovičova 7A,
,+421 35 641 08 64,Bitúnkova 13,
,+421 31 557 12 23,Veľkoblahovská Cesta 23,
djaberi@yahoo.com,+421 42 465 33 19,Pod Hájom 1288/116 ,
rtgbb@schneider-rtg.sk,+421 902 954 961,Horná 61/A,http://www.schneider-rtg.sk
,,Hlavná   56,
,+421 32 744 42 47,Hanzlikovská  703/2,
,346969436,Koreszkova 9,
,+421 55 623 36 53,Baštová 12,
,+421 948 800 754,Winterova 66.,http://www.naw.sk
,+421 56 638 27 15,Fábryho 20,
,+421 904 343 731,Námestie Šoltésovej 10 (vo dvore),http://www.veterina-levice.sk
,+421 32 652 17 69,Továrenská 32 ,
,+421 32 771 25 98,Dibrovova 29,
info@nusch.sk,+421 2 5932 0111,Pod Krásnou hôrkou 1,https://www.nusch.sk/
miskejeova@sustekova.sk,+421 2 6241 2795,Šustekova 2,http://www.sustekova.sk/miskejeova.html
,+421 905 282 451,SNP 3,
unamedvzp@zoznam.sk,+421 51 772 03 93,Pavlovičovo námestie 8,
mirage@schneider-lekaren.sk,+421 902 954 942,Nám. A. Hlinku 7/B,http://www.schneider-lekaren.sk
,+421 2 6280 1263,Bartókova 4,
,,Bratislavská  320,
,+421 31 786 00 37,Hlohovecká  103,
lekaren.sever@stonline.sk,+421 46 540 47 81,Gorkého 3,
ivona.dzupova@gmail.com,+421 33 647 29 56,Vajanského 56,http://www.pediatriamodra.sk
petobuc@gmail.com,+421 41 723 22 09,Hálkova 3,http://www.urodyn.sk
,+421 2 4363 7077,Mládežnícka 12,
rtgkejuh@schneider-rtg.sk,+421 902 954 922,Rastislavova 45,http://www.schneider-rtg.sk
ambulanciamlyny@gmail.com,+421 905 535 570,Staré grunty 36,
,+421 42 462 41 73,Ľ. Štúra  6/6,
,+421 918 800 848, J. Kačku  4 ,
,+421 2 3230 3030,Tematínska 5,http://www.medissimo.sk
office@familydentalcare.sk,+421 2 5296 4268,Štúrová 12,http://familydentalcare.sk
,+421 907 186 510,ul. ČSA 35,
,+421 46 546 13 77,Matice Slovenskej 960/3,
,+421 02 922 10 9,Moldavská cesta 21/A,
,,Kuzmányho  6,
,+421 47 481 62 22,Nemocničná 1,
drmax-pn3@drmax.sk,+421 33 321 99 41,Adama Trojana 6690/77,http://www.drmax.sk
,,Krušovská  1929 a 4677,
mcdoktor.sk@gmail.com,+421 04 143 91 11,Zborov nad Bystricou 224,
necpal.neuro@gmail.com,+421 45 520 15 00,Kuzmányho nábrežie 28,
,+421 56 635 04 71,Hlavná 17,
,+421 41 724 63 17,Komenského  34,
,+421 41 562 70 02,Vysokoškolákov 31,
babcan@gmail.com,+421 910 903 384,Cukrovarská 20,
,+421 43 420 35 91,Kollárova  2,http://www.unm.sk
,+421 2 3261 1167,Cintorínska 16,
,,Lipnická 3153	,
info@fokusoptika.sk,+421 32 776 36 45,SNP 150,https://fokusoptika.sk/
,+421 42 430 43 50,Nemocničná  986,
riaditelstvo@nsplm.sk,+421 44 556 31 10,Palúčanská 25,http://www.nsplm.sk
bobulova@centrum.sk,+421 44 562 03 02,Jánošikovo nábr. 1,
,+421 37 654 51 11,Špitálska 6,http://www.fnnitra.sk/
,,K dolnej stanici 18,
epilepsia@post.sk,+421 907 531 908,Dúbravská cesta 1 P.O.Box 116,http://www.epilepsiask.sk
,,Sološnica 488,
drmax-tl2@drmax.sk,+421 47 321 44 08,Sládkovičova 1,
zigo@pracovneodevyzigo.sk,+421 41 500 51 70,Na stanicu 16,http://www.pracovneodevyzigo.sk
info@fokusoptika.sk,+421 55 642 45 05,Trieda SNP 1,https://fokusoptika.sk/
,+421 42 460 53 45,Pod Lachovcom  1727/55,
,+421 48 415 34 82,Horná 61/A,
,+421 85 088 89 99,Jelačičova 7,http://www.procare.sk
,,Brnenské nám.  4,
,,Nám. B. Bartóka  224,
mudr.kulikova@stonline.sk,+421 58 448 23 91,Tomášikova 680,
,,Sotinská  1588,
,+421 903 406 455,Vrútocká 58,
,+421 2 4823 4808,Ružinovská 6,http://www.unb.sk
Bauermed@gmail.com,+421 55 677 03 99,Krivá 17,http://www.bauermed.sk
bartosova.jana@atlas.sk,+421 41 460 41 09,Palárikova 2311,
,+421 48 472 65 70,Námestie Ľudovíta Svobodu č.4,
,+421 43 420 38 39,Kollárova  2,http://www.unm.sk
,+421 948 578 800,"Magurská  1/B, 3/C",
,+421 37 633 42 25,Hlavná  253,
,,"Hedera II , Pevnostný rad  18",
,,Antolská 4,
,+421 903 946 796,Tomášikova 26,
,+421 907 747 868,Kamenín 650,
,,Nemocničná  1,
anna.kovalova@caritas.sk,+421 53 441 06 25,Hanulova 2,http://www.caritas.sk
,+421 52 772 33 03,Tatranské nám. 8,
,,Suchá nad Parnou  66,
