Name,email
Lekáreň HUMAVET,lekaren.humavet@gmail.com
Lekáreň KUBAČOVA,lekaren.kubacova@pharim.sk
Lekáreň LÁB - pobočka,lab@lekzdravie.sk
"Lekáreň MODRA, s.r.o.",lekaren.modra@pharim.sk
Lekáreň KRYŠTÁL,krystal@soslekaren.sk
Lekáreň Dr. MAX,drmax-ba4@drmax.sk
Lekáreň PLUS,lekaren.plus@pharim.sk
Nemocničná lekáreň s výdajom verejnosti,lekaren@kr.unb.sk
Lekáreň PRI STANICI,lekarenpristanici@gmail.com
Lekáreň SV. ANNY,zahorska@lekarensvanny.sk
Lekáreň SV.FRANTIŠKA - pobočka,lekaren.bahon@pharim.sk
Lekáreň SV. TADEÁŠA,lekaren.tadeas@pharim.sk
Lekáreň TRNAVSKÉ MÝTO,lekaren@tm-lekaren.sk
Lekáreň VESNALA,lekaren.02@vesnala.sk
Lekáreň VERBENA,verbenalekaren@gmail.com
"Gynekologická ambulancia, MUDr. Svetlana Jánošová,PhD., Krompachy, (EMPORIA s.r.o.)",info@gynkrompachy.sk
"Všeobecná ambulancia pre dospelých, MUDr. Ján Dráč, Košice-Sídl.Ťahanovce, (MUDr. Ján Dráč)",+421905623594@orangemail.sk
Lekáreň NIKA,lekarennika@gmail.com
"Všeobecná ambulancia pre deti a dorast, MUDr. Žaneta Dančišinová, Michalovce, (Dorotea, s. r. o.)",dancisinova.zaneta@gmail.com 
Lekáreň AMBRA,lekambra@lekambra.sk
Lekáreň BEATRIX, lekaren.beatrix@apothekeslovakia.sk
Lekáreň AUPARK,auparkza@schneider-lekaren.sk
Lekáreň Dr. Max,drmax-za3@drmax.sk
Lekáreň Dr. Max,drmax-za1@drmax.sk
EKOLEKÁREŇ,zilina@ekolekaren.sk
Lekáreň EVA,lekarenevasucany@gmail.com
Lekáreň FERULA,ferulasro@gmail.com
Lekáreň INSPE,lekaren@lekareninspe.sk
Lekáreň KOLEČKO,lekaren@lekarenkolecko.sk
Lekáreň IDA,lekarenidamt@gmail.com
Lekáreň LIETAVSKA LÚČKA,lekarenll@seznam.cz
Lekáreň NA HRADNEJ,gogolova@lm.psg.sk
Lekáreň V KLINCI,lekarenvklinci@gmail.com
Lekáreň MÁRIA,info@lekarenmaria.sk
Lekáreň PRI STAREJ PK,lekarenp@gmail.com
Lekáreň RONDEL,lekarenrondel@gmail.com
Lekáreň Kolečko 2,lekarensalve34@gmail.com
Lekáreň SVRČINOVEC,lekaren@svrcinovec.eu
Lekáreň POLIKLINIKA,lekarenrajec@gmail.com
Lekáreň SENIUM MEDICA,lekaren-medica@senium.sk
Lekáreň ZDRAVIE,zdravievital@slovanet.sk
Lekáreň VIOLA,lekarenviola329@gmail.com
"Ambulancia všeobecného lekára pre dospelých, DOKTOR s.r.o., Rožňava, Rožňava, (D O K T O R s.r.o.)",dr.harhovska@gmail.com
Lekáreň CLAUDIUS GALENUS,lekaren.claudius.galenus@gmail.com
Lekáreň PEDAG,lekaren@pedag.sk
"Všeobecná ambulancia pre dospelých, MUDr. Norbert Michalák, Boťany, (COOLMEDEX, s. r. o.)",norbert.michalak@centrum.sk
Lekáreň V TESCO KOMÁRNICKÁ,lekarentescokomarnicka@gmail.com
"Všeobecná ambulancia pre dospelých, MUDr. Peter Strhák, Bratislava-Ružinov, (PS Medical Care, s.r.o.)",sestra@medicalcare.sk
"Všeobecná ambulancia pre dospelých, Moldava nad Bodvou, (Tamice, s.r.o.)",ambulancia.ratvajova@gmail.com
"Všeobecná ambulancia pre dospelých, Pernek, (Dapur s. r. o.)",recepty.kuchyna@gmail.com 
"Centrum sociálnych služieb - Bôrik (CSS - Bôrik), Žltá 319",info@csspravno.sk
Lekáreň ŠALVIA,lekarensalviaba@gmail.com
"Ambulancia zubného lekárstva, MUDr. Mária Šimkovičová, Bratislava-Nové Mesto, (G-DENT Sk, s.r.o.)",simkovicova@gdent.sk
"Ambulancia zubného lekárstva, Trebišov, (AlaDent s.r.o.)",aladent@aladent.sk
"Ambulancia zubného lekárstva, MDDr. Oleksandra Rohach, Kežmarok, (Dens KK, s. r. o.)",ambulancia@denskk.sk
Výdajňa zdravotníckych pomôcok KA-MA,kamavydajna@gmail.com
"Centrum sociálnych služieb Žarec, Čierne 156",elarisova@vuczilina.sk
Lekáreň SOFIA,lekarensofia@pobox.sk
"ImunoVital Centrum, Bratislava-Ružinov, (IMUNOSPORT s. r. o.)",info@imunovital.sk 
Lekáreň Dr. Max,drmax313@drmax.sk
"SVaLZ, rádiológia, Zvolen, (ALFAMEDIA  s. r. o.)",alfamedia.zvolen@abdg.sk
Lekáreň BELLIS,lekaren.bellis.lv@apothekeslovakia.sk
Lekáreň Pod topoľmi,lek.podtopolmi@gmail.com
Lekáreň BENU,benu72@benulekaren.sk
"Ambulancia pediatrickej kardiológie, MUDr. Peter Truchlý, Považská Bystrica, (Nemocnica s poliklinikou Považská Bystrica so sídlom v Považskej Bystrici)",detska.kardiologia@nemocnicapb.sk
VÝDAJŇA ORTOPEDICKO-PROTETICKÝCH ZDRAVOTNÍCKYCH POMÔCOK,r.nagy@markont.sk
"Psychiatrická ambulancia, MUDr. Eva Bubeníková, Bratislava-Ružinov, (VIA SPIRITUS s. r. o.)",viaspiritus.amb@gmail.com
"Všeobecná ambulancia pre deti a dorast, Vysoké Tatry, (DOTTORE, s.r.o.)",dottorepp@gmail.com
"Ambulancia zubného lekárstva, Námestovo, (PEDAX, spol. s.r.o.)",lazovskadagmar@gmail.com 
"Všeobecná ambulancia pre dospelých, Maňa, (MEDANEST s.r.o.)",milos.bartko@gmail.com
"Mesto Liptovský Mikuláš, Komenského 2128",erika.sabakova@mikulas.sk
AdLa plus lekáreň,moscatisro@gmail.com
VZP ZDRAVAB,zdravabke@gmail.com
"Všeobecná ambulancia pre dospelých, Jelenec, (Kmedical s.r.o.)",korcekova.ambulancia@gmail.com
Mesto Ružomberok,ruzomberok@ruzomberok.sk
Domov n.o.,dss.velkepole@gmail.com
Domov n.o.,dss.velkepole@gmail.com
Domov n.o.,dss.velkepole@gmail.com
Lekáreň AGAPÉ,lekarenagape@lekarenagape.sk
Domov n.o.,dss.velkepole@gmail.com
Domov n.o.,dss.velkepole@gmail.com
Lekáreň BENU,benu55@benulekaren.sk
"Ambulancia zubného lekárstva, Liptovský Mikuláš, (Alexia creative Liptov s.r.o.)",alexiacreativeliptov@gmail.com
Lekáreň V BILLA NOBELOVO NÁMESTIE,lekarennobelovo@gmail.com
"RoyalDent, Košice-Myslava, (LUMY DENT s.r.o.)",info@royaldent.sk
"Ambulancia všeobecného praktického lekára, Bratislava-Staré Mesto, (MUDr. Peter Lipták)",liptak@vld.sk
"Všeobecná ambulancia pre dospelých, MUDr. Mária Vargová, Košice-Staré Mesto, (Artemis DH s.r.o.)",ambulanciavargova@gmail.com
"Gastroenterologická ambulancia, Martin, (GASTRO-MED, s.r.o.)",ambulancia.gastromed@gmail.com
"Ambulancia klinickej psychológie, PhDr. Gabriela Lukáčová, Košice-Staré Mesto, (PhDr. Gabriela Lukáčová)",lukacova.gabriela@centrum.sk
"Všeobecná ambulancia pre deti a dorast, MUDr. Helena Igazová, Veľké Kapušany, (I.L.V. med s.r.o.)",dr.igazova@azet.sk
"ILMED s.r.o, Kráľovský Chlmec, (ILMED s.r.o.)",ilmedchlmec@gmail.com
"Endokrinologická a diabetologická ambulancia, Martin, (EndoDiaMed, s. r. o.)",endodiamed@gmail.com 
"SVaLZ, rádiológia, MUDr.Jozef Kašuba,CSc, Martin, (SONO - KAŠUBA, s. r. o.)",sonokasuba@gmail.com
"Všeobecná ambulancia pre dospelých, MUDr. Ján Janočko, Valaliky, (MUDr. Ján Janočko)",janocko.jan@zoznam.sk
"Gynekologická ambulancia, MUDr.Anna Vilčinská, Nižná, (MUDr. Anna Vilčinská)",a.vilcinska@orava.sk
"Oftalmologická ambulancia, MUDr. Ondrej Jurčišin, Spišská Nová Ves, (JTM oko s.r.o.)",jjaskova2@gmail.com
"JSM, s.r.o., Moldava nad Bodvou, (JSM s. r. o.)",ocnemoldava@gmail.com
"Reumatologická ambulancia, MUDr. Danica Naňová, Rožňava, (BONNART s.r.o.)",mudr.danica.nanova@gmail.com
"Všeobecná ambulancia pre dospelých, MUDr. Ján Béreš, Košice-Juh, (JLB DOCTOR s. r. o.)",jlbdoktor@centrum.sk
"SVaLZ, rádiológia, MUDr. Ľubica Legiňová, Košice-Nad jazerom, (GYNEKO PLUS, s. r. o.)",gynendo@centrum.sk
"Všeobecná ambulancia pre deti a dorast, MUDr. Alena Kotláriková, Bratislava-Ružinov, (AAK, Centrum starostlivosti, s.r.o.)",ambulaak@gmail.com
"Ambulancia pediatrickej kardiológie, MUDr. Jarmila Kardošová , Čadca, (MICARD, s.r.o.)",kardosova.jarmila@gmail.com
"Všeobecná ambulancia pre deti a dorast, MUDr. Monika Rochová, Michalovce, (EUROCH s.r.o.)",rochova@post.sk
Lekáreň Dr. Max,drmax280@drmax.sk
"Ambulancia vnútorného lekárstva, MUDr. Lucia Lomenčíková, Martin, (MUDr. Alena Lomenčíková, s.r.o.)",dia.lomencikova@gmail.com
"Ambulancia fyziatrie, balneológie a liečebnej rehabilitácie, Turzovka, (IMPULZ fyziatricko-rehabilitačné zariadenie, s. r. o.)",info@rehabilitacia-turzovka.sk 
"Špecializovaná ambulancia, služby zdravia pri práci, Kysucké Nové Mesto, (RUMEDIKA, s.r.o.)",recepel123@gmail.com
"Ambulancia vnútorného lekárstva, MUDr. Ľubica Vrždiaková, Martin, (EndoDiaMed, s. r. o.)",endodiamed@gmail.com 
"Ambulancia zubného lekárstva, MUDr. Peter Machaj, Dolný Kubín, (MUDr. MACHAJ PETER, s.r.o.)",mudrmachajpeter@gmail.com
"Ambulancia fyziatrie, balneológie a liečebnej rehabilitácie, Kysucké Nové Mesto, (ARCUS, s.r.o.)",rehabilitacia.arcus@gmail.com
"Ambulancia zubného lekárstva, MUDr. Mikuláš Bežovský, Lekárovce, (BEMISTOMA s.r.o.)",bemistoma@gmail.com
"Všeobecná ambulancia pre dospelých, MUDr. František Horný, Trebišov, (HORNMED, s. r. o.)",doktorhorny@centrum.sk
"Všeobecná ambulancia pre dospelých, MUDr. Júlia Šverhová, Krompachy, (HOMED s.r.o.)",julia.sverhova@gmail.com
"Všeobecná ambulancia pre dospelých, Ružomberok, (Artemeda, s.r.o.)",artemedark@gmail.com
"Všeobecná ambulancia pre deti a dorast, MUDr. Karolína Zahradníková, Bratislava-Petržalka, (U LEKÁRA s.r.o.)",ulekara2@gmail.com
"Všeobecná ambulancia pre dospelých, MUDr. Andrej Zahradník, Bratislava-Petržalka, (U LEKÁRA s.r.o.)",ulekara.zahradnik@gmail.com
"Všeobecná ambulancia pre deti a dorast, MUDr. Mariana Kudlová, Valaliky, (MUDr. Mariana Kudlová)",m.kudlova@gmail.com
"Ambulancia zubného lekárstva, Rajecké Teplice, (MUDr. Andrea Trégerová)",andreatregerova@zoznam.s
"Všeobecná ambulancia pre dospelých, Liptovský Mikuláš, (ISNIUS s.r.o.)",predpislieku@gmail.com
Lekáreň BENU,benu80@benulekaren.sk
"ADOS, Daniela Dlabača, Žilina, (ADOS Mária, s.r.o.)",adoscibulkova@gmail.com
"Ambulancia zubného lekárstva, Liptovský Mikuláš, (MUDr. Dubovský, s.r.o.)", dubanka1@azet.sk 
"Všeobecná ambulancia pre dospelých, MUDr. Mária Spišáková, Moldava nad Bodvou, (archiMEDES s. r. o.)",archimedes.mudr@gmail.com
"Všeobecná ambulancia pre dospelých, Ružomberok, (HEALTH FACTORY, s.r.o.)",amb.piovarciova@gmail.com
"Všeobecná ambulancia pre dospelých, MUDr. Agata Šventová , SAPMED, s.r.o.), Ružomberok, (SAPMED, s.r.o.)",ambulancia.sapmed@gmail.com
"Všeobecná ambulancia pre dospelých, MUDr. Martin Pančuchár, Lokca, (HIRUMED, s.r.o.)",hirumedambulancia@gmail.com
"Ambulancia klinickej psychológie, Liptovský Mikuláš, (PhDr. Kata Piačková)",kata.piackova@post.sk
"Neurologická ambulancia, MUDr. Eva Kyčinová, Žilina, (Neuroprax, s.r.o.)", neuroprax1@gmail.com
"Kardiologická ambulancia, MUDr. Ján Beniač, Žilina, (MEDIVASA, s.r.o.)",kardio@medivasa.sk
"Všeobecná ambulancia pre dospelých, MUDr.Jana Bačinská, Žilina, (MEDIVASA, s.r.o.)",vseo2@medivasa.sk
"Všeobecná ambulancia pre deti a dorast, Žilina, (KardioPrakt, s.r.o.)",doktor@sagal.sk 
"Ambulancia vnútorného lekárstva, MUDr. Marián Boček , Ružomberok, (Oáza relax, s.r.o.)",oazarelax@gmail.com
"Chirurgická ambulancia, MUDr.Mlynárik Stanislav, Ružomberok, (MUDr. Stanislav Mlynárik)",s.mlynarik@gmail.com
"Všeobecná ambulancia pre dospelých, MUDr. Veronika Šefčíková, Kysucké Nové Mesto, (VS medical s.r.o.)",ambulancia@vsmedical.sk
"Ambulancia vnútorného lekárstva, Kysucké Nové Mesto, (RUMEDIKA, s.r.o.)",recepel123@gmail.com
"Gynekologická ambulancia, Martin, (TOM-GYN, s.r.o.)",info@tomgyn.sk
"Otorinolaryngologická ambulancia, Kráľovský Chlmec, (LEXUM M.H.L. s.r.o.)",l.hurcik@gmail.com
"Všeobecná ambulancia pre dospelých, Trebišov, (LOCUSMED s.r.o.)",salamonovamaria@post.sk
"Otorinolaryngologická ambulancia, MUDr. Ing. Popreňák Martin, Spišská Nová Ves, (Ambulancia krčno ušno nosová s.r.o.)",r.toporcerova@azet.sk
"Urologická ambulancia, Žilina, (UROPRAX, s.r.o.)",objednaturoprax@gmail.com
"Kardiologická ambulancia, Žilina, (MUDr. Anna Cholujová, s.r.o.)",acholujova@gmail.com 
"Tkanivové zariadenie, Kollárova, Martin, (ISCARE, a.s.)",iscare@iscare-martin.sk 
"Jednodňová zdravotná starostlivosť, gynekológia a pôrodníctvo, Martin, (ISCARE, a.s.)",iscare@iscare-martin.sk 
"Všeobecná ambulancia pre deti a dorast, MUDr. Ľubov Makohusová, Michalovce, (MAMEDICAL s. r. o.)",makohus@centrum.sk
"Angiologická (cievna) ambulancia, MUDr. Kolesár, Michalovce, (KORAMA, s. r. o.)",kolesar.angiolog@gmail.com
"Kardiologická ambulancia, MUDr. Mária Gofusová, Michalovce, (MUDr. Mária Gofusová)",maria.gofusova@gmail.com
Lekáreň ANJA,lekaren@lekarenanja.sk
Lekáreň PHARMACUM PLUS,lekaren.banovce@apothekeslovakia.sk
"Otorinolaryngologická ambulancia, MUDr. Lýdia Sliacka, Prievidza, (SaliMed, s.r.o.)",drsliackaorl@gmail.com
"Ambulancia vnútorného lekárstva, MUDr. Eva Nováková, Spišská Nová Ves, (EVAN - MED s. r. o.)",evanmedsnv@mail.com
EUROLEKÁREŇ,europharmacy@europharmacy.sk
"Všeobecná ambulancia pre dospelých, MUDr. Jana Blahová, Žilina, (KRANKAS s.r.o.)",krankas@krankas.sk
"Ortopedická ambulancia,, Zlaté Moravce, (Nemocnica AGEL Zlaté Moravce a.s.)",chirurgia@nemocnicamoravce.sk
"Yoki, s.r.o., Na Karlove 3718",yokisro@gmail.com 
Lekáreň AGEL Levice,lekaren.steris@nlv.agel.sk
Lekáreň PRI NEMOCNICI,prinemocnicihandlova@gmail.com
"Všeobecná ambulancia pre dospelých, MUDr. Ľudovít Tomaga, Margecany, (ARBOR VITAE s.r.o.)",skst.margecany@gmail.com
"Ambulancia vnútorného lekárstva, MUDr. Ľudovít Tomaga, Margecany, (ARBOR VITAE s.r.o.)",skst.margecany@gmail.com
"Všeobecná ambulancia pre dospelých, Žilina, (OPHTHAMED, s.r.o.)",a41864@napislekarovi.sk 
"Poliklinika, Bratislavská cesta, Žilina, (KRANKAS s.r.o.)",krankas@krankas.sk
Nemocničná lekáreň s výdajom verejnosti,lekaren.vcielka@dfnkosice.sk
"Ambulancia vnútorného lekárstva, Ružomberok, (MUDr. Eva Svozilová, s.r.o.)",dr.svozilova@gmail.com
Lekáreň IGNATIA,ignatia@ignatia.sk
"Všeobecná ambulancia pre deti a dorast, MUDr. Adriána Nováková, Trebišov, (ADRIAS s. r. o.)",pediater@adrias.sk 
"Ambulancia zubného lekárstva, ambulancia dentálnej hygieny, Párnica, (edent s.r.o.)",zaparnica@gmail.com
Spolu sme Prievidza,michal@michaldobias.sk
"Občianske združenie Svätého Lazara, Dedovec 1747",renata.valasikova@gmail.com
Lekáreň PRI MASARYČKÁCH, lekaren.primasaryckach@omegalekaren.sk
"Všeobecná ambulancia pre dospelých, Oravské Veselé, (MUDr. Júlia  Olexíková)",olexikovajulia@gmail.com
"Psychiatrická ambulancia, Pezinok, (MASSAREI s.r.o.)",massarei.psych@gmail.com
"Ambulancia klinickej psychológie, PhDr. Jozef Ďanovský, Martin, (Via Sano, s.r.o.)",viasanomt@gmail.com
"Chirurgická ambulancia, Čadca, (Kysucká nemocnica s poliklinikou Čadca)",chir-ambulancia@kysuckanemocnica.sk
"Kardiologická ambulancia, Čadca, (Kysucká nemocnica s poliklinikou Čadca)",kardio@kysuckanemocnica.sk
"Ambulancia klinickej onkológie, Čadca, (Kysucká nemocnica s poliklinikou Čadca)",lamos@kysuckanemocnica.sk
"Ambulancia vnútorného lekárstva, MUDr. Jana Masliková, Čadca, (Kysucká nemocnica s poliklinikou Čadca)",maslikova@kysuckanemocnica.sk
"Gastroenterologická ambulancia, MUDr. Tatiana Nehajová, Čadca, (Kysucká nemocnica s poliklinikou Čadca)",gastro@kysuckanemocnica.sk
"Otorinolaryngologická ambulancia, MUDr. Ján Martiška, Čadca, (Kysucká nemocnica s poliklinikou Čadca)",orl@kysuckanemocnica.sk
"Pediatrická ambulancia, Čadca, (Kysucká nemocnica s poliklinikou Čadca)",detskaprijmova@kysuckanemocnica.sk
"Geriatrická ambulancia, Čadca, (Kysucká nemocnica s poliklinikou Čadca)",geriatrickaambulancia@kysuckanemocnica.sk
"Ambulancia anestéziológie a intenzívnej medicíny, Čadca, (Kysucká nemocnica s poliklinikou Čadca)",anesteziologickaambulancia@kysuckanemocnica.sk
"Neurologická ambulancia, Čadca, (Kysucká nemocnica s poliklinikou Čadca)",neurologickaambulancia@kysuckanemocnica.sk
"Otorinolaryngologická ambulancia, MUDr. Katarína Paveleková, Žilina, (KRANKAS s.r.o.)",krankas@krankas.sk
"Chirurgická ambulancia, MUDr. Stanislav Holeša, Žilina, (KRANKAS s.r.o.)",krankas@krankas.sk
"Ortopedická ambulancia, MUDr. Gražyna Gállová, Žilina, (KRANKAS s.r.o.)",krankas@krankas.sk
"Psychiatrická ambulancia, MUDr. Anna Škottová, Žilina, (KRANKAS s.r.o.)",krankas@krankas.sk
"Ambulancia klinickej psychológie, Mgr. Ivana Senková, Žilina, (KRANKAS s.r.o.)",krankas@krankas.sk
"Ambulancia pracovného lekárstva, MUDr. Pavol Moravčík, Žilina, (KRANKAS s.r.o.)",krankas@krankas.sk
"SVaLZ, rádiológia, MUDr. Daša Klobušiaková, Žilina, (KRANKAS s.r.o.)",rtg@krankas.sk
"SVaLZ, fyziatria, balneológia a liečebná rehabilitácia,MUDr. Eva Špániková, Žilina,, Žilina, (KRANKAS s.r.o.)",krankas@krankas.sk
"Ambulancia fyziatrie, balneológie a liečebnej rehabilitácie,MUDr. Eva Špániková, Žilina, Žilina, (KRANKAS s.r.o.)",krankas@krankas.sk
"Všeobecná ambulancia pre dospelých, MUDr. Andrea Bošelová, Martin, (Rafaelo s.r.o.)",ambulancia.boselova@seznam.cz
"Chirurgická ambulancia, Kletsko Lyubomyr, Martin, (SVIT-MED, s.r.o)",l.klecko100@gmail.com
"SVaLZ, fyziatria, balneológia a liečebná rehabilitácia, Bratislava-Nové Mesto, (EUROREHAB s.r.o.)",eurorehab.tehelna@gmail.com
"Jednodňová zdravotná starostlivosť, chirurgia, MUDr. Jozef Babala PhD, Bratislava-Staré Mesto, (EUROMED, s.r.o.)",jednodnovachirurgia@gmail.com
"Jednodňová zdravotná starostlivosť, anestéziológia a intenzívna medicína, MUDr. Tomáš Hrtánek, Bratislava-Staré Mesto, (EUROMED, s.r.o.)",jednodnovachirurgia@gmail.com
"ImunoVital Centrum, Bratislava-Ružinov, (IMUNOSPORT s. r. o.)",info@imunovital.sk 
"Mesto Myjava, Trokanova 236",jana.galikova@myjava.sk
Mesto Myjava,podatelna@myjava.sk
Ing. Jaroslav Smatana,smatasonic@seznam.cz
"Radiačná onkológia - ortopedickí pacienti, Žilina, (Fakultná nemocnica s poliklinikou Žilina)",kecskes@fnspza.sk
"Všeobecná ambulancia pre dospelých, MUDr. Andrea Kovácsová, Čierna nad Tisou, (Dentilux, s.r.o.)",klad@centrum.sk
"Všeobecná ambulancia pre deti a dorast, MUDr. Eva Horňáková, Sečovce, (DENTAPED, spol. s r.o.)",dentaped@atknet.sk
"Asociácia zväzov zdravotne postihnutých v Trenčíne, Bezručova 1330",azzpriaditel@gmail.com
"Domov n. o., Partizánske, Nádražná 649",domovpartizanske@gmail.com
"HARMÓNIA n.o., Košovská cesta 59",kvrablova67@gmail.com 
"Jazmín n.o., Ferka Nádaždyho 103",jazmin.mrazova@gmail.com
"Jazmín n.o., Partizánska 143",jazmin.mrazova@gmail.com
"Mesto Nové Mesto nad Váhom, Trenčianska ulica 2288",utulok@nove-mesto.sk
"ORL -  ušno, nosovo, krčná ambulancia , Dolný Kubín, (ORL medicentrum s.r.o.)",orlambulancia.dk@gmail.com
"Mesto Nové Mesto nad Váhom, Ulica J. Kollára 342",msu@nove-mesto.sk
"Mesto Partizánske, Rudolfa Jašíka 160",ludmila.fremalova@partizanske.sk
"Mesto Partizánske, Rudolfa Jašíka 160",ludmila.fremalova@partizanske.sk
"Mesto Partizánske, Družstevná 833",ludmila.fremalova@partizanske.sk
Mesto Partizánske,ludmila.fremalova@partizanske.sk
"Centrum sociálnych služieb Terchová, Havrania 35",martina.lasutova@vuczilina.sk
Mesto Partizánske,ludmila.fremalova@partizanske.sk
"Mesto Partizánske, Námestie SNP 212",ludmila.fremalova@partizanske.sk
Mesto Partizánske,ludmila.fremalova@partizanske.sk
"Mesto Partizánske, Námestie SNP 212",ludmila.fremalova@partizanske.sk
"Diecézna charita Žilina, Kukučínova 1987",charitaza@gmail.com
Mesto Partizánske,ludmila.fremalova@partizanske.sk
"NOVÝ DOMOV n. o., Ulica K. Kuzmányho 700",info@novy-domov.com
"NOVÝ DOMOV n. o., Ulica K. Kuzmányho 700",info@novy-domov.com
"PENZION JESEŇ, n. o.",penzionjesen@gmail.com
"SENIOR Nitrianske Rudno, n.o.",seniornr@seniornr.sk
"Slovenský Červený kríž, Územný spolok Trenčín, Stromová 2539",trencin@redcross.sk
"Sociálne služby Myjava, n.o., Hoštáky 671",dssusvit@gmail.com
Stredisko Evanjelickej DIAKONIE Domov dôchodcov a Domov sociálnych služieb Kšinná,ddksinna@pbi.sk
"Stredisko Evanjelickej DIAKONIE Košeca, Bytovky 898",info@diakoniakoseca.sk
"STREDISKO SOCIÁLNYCH SLUŽIEB KANIANKA, n.o., Nová 596",ssskanianka@gmail.com
Účelové zariadenie cirkvi BÉTEL Vrbovce,fara.vrbovce@gmail.com
Účelové zariadenie cirkvi BÉTEL Vrbovce,fara.vrbovce@zoznam.sk
"Mesto Partizánske, Februárová 152",ludmila.fremalova@partizanske.sk
"Centrum sociálnych služieb - BYSTRIČAN, Zakvášov 1935",info@cssbystrican.sk
Centrum sociálnych služieb - SLOVEN,info@csssloven.sk
